Dataset,File Name,Best Accuracy
svhn,20250103_064953.log,12.4424
svhn,20250103_093745.log,13.7485
svhn,20250103_081339.log,12.5077
svhn,20250103_073145.log,11.2208
svhn,20250103_085538.log,13.0954
svhn,AVG of Top 5 Best Accuracies,12.60296
camelyon,20250103_003550.log,62.7289
camelyon,20250107_041521.log,62.6984
camelyon,20250103_003511.log,69.0582
camelyon,20250107_003624.log,60.0311
camelyon,20250107_015026.log,62.7258
camelyon,AVG of Top 5 Best Accuracies,64.20715
cifar,20250103_040825.log,19.55
cifar,20250103_025356.log,21.96
cifar,20250103_031240.log,18.7
cifar,20250103_034941.log,21.43
cifar,20250103_033102.log,19.3
cifar,AVG of Top 5 Best Accuracies,20.188
dtd,20250103_043153.log,35.9574
dtd,20250103_042646.log,36.7021
dtd,20250103_043656.log,35.8511
dtd,20250103_044159.log,34.5213
dtd,20250103_044704.log,33.6702
dtd,AVG of Top 5 Best Accuracies,35.34042
flowers102,20250103_050627.log,93.9828
flowers102,20250103_052046.log,94.1617
flowers102,20250103_045204.log,94.5194
flowers102,20250103_054937.log,93.8852
flowers102,20250103_053508.log,94.243
flowers102,AVG of Top 5 Best Accuracies,94.15841999999999
sun397,20250103_035034.log,30.9931
sun397,20250103_045151.log,30.7034
sun397,20250103_061052.log,29.5724
sun397,20250103_053121.log,32.6667
sun397,20250103_024904.log,32.3954
sun397,AVG of Top 5 Best Accuracies,31.266199999999998
resisc45,20250107_023136.log,38.5873
resisc45,20250107_014510.log,35.9048
resisc45,20250107_020042.log,40.3016
resisc45,20250107_021610.log,36.0635
resisc45,20250107_024708.log,36.6984
resisc45,AVG of Top 5 Best Accuracies,37.51112
caltech101,20250103_020315.log,71.8935
caltech101,20250103_021551.log,73.2413
caltech101,20250103_015036.log,72.666
caltech101,20250103_024109.log,75.5095
caltech101,20250103_022833.log,74.622
caltech101,AVG of Top 5 Best Accuracies,73.58646
pet,20250103_015136.log,65.9308
pet,20250103_023723.log,72.6901
pet,20250103_022544.log,68.2202
pet,20250103_021412.log,70.9458
pet,20250103_020237.log,68.4655
pet,AVG of Top 5 Best Accuracies,69.25048000000001
retinopathy,20250108_173045.log,73.5693
retinopathy,20250108_222808.log,73.611
retinopathy,20250108_211352.log,73.595
retinopathy,20250108_195931.log,73.595
retinopathy,20250108_184500.log,73.595
retinopathy,AVG of Top 5 Best Accuracies,73.59307
eurosat,20250107_011812.log,56.2407
eurosat,20250107_003731.log,38.2778
eurosat,20250107_013144.log,56.7778
eurosat,20250107_005058.log,50.3889
eurosat,20250107_010433.log,47.3889
eurosat,AVG of Top 5 Best Accuracies,49.81482
